ItemID,Status,ItemName,HELPER COLUMN
HI-000504,Active,Cotton Twine 6mm 300 Mtr Roll,
HI-000505,Active,First Aid Kit Green box,
HI-000506,Active,Hand Sanitizer,
HI-000508,Active,Small Grey Rubbish Bin,
HI-000511,Active,Eucalyptus Spray Can,
HI-000513,Active,Freedom Carpet Cleaner,
HI-000514,Active,No Vac Carpet Sanitizer Deodorant,
HI-000517,Active,Paper Towels Roll,
HI-000519,Active,Red & White Rope,
HI-000520,Active,Leather Gloves Pair,
HI-000521,Active,Skit Box,
HI-000522,Active,Plastic Sword,
HI-000523,Active,Large Tarp for Birthing Breathe 12Mtr X 12Mtr,
HI-000528,Active,Birthing Canal Beige,
HI-000531,Active,Birthing Breath Tarp Cleaning Kit,
HI-000532,Active,1 Ltr CT Truck wash,
HI-000533,Active,Assorted Ropes and Straps,
HI-000534,Active,Steel Anchor Pegs,
HI-000535,Active,Yellow Tub Lge,
HI-000536,Active,Buffalo Drum,
HI-000537,Active,Arrow,
HI-000538,Active,Polystirene Foam Ball White,
HI-000540,Active,Sorbolene 1 Ltr,
Hi-000541,Active,Candle Dripless New,
HI-000542,Active,Candle Dripless Used,
HI-000539,Active,Candle Pillar Sml 70mm,
HI-000543,Active,Candle Pillar Medium 150mm,
HI-000544,Active,Real 2 All Candles,
HI-000545,Active,Black Ropes RSQ Circles,
HI-000546,Active,Black Rope Lge,
HI-000547,Active,Mirror Medium,
HI-000548,Active,Mirror Sml,
HI-000550,Active,Cooling Fan,
HI-000551,Active,Table Mini Evaporative Air Conditioner,
HI-000553,Active,A3 Paper Single sheet,
HI-000555,Active,A3 Paper Reem of 500 Sheets,
HI-000556,Active,Balloons 100pk,
HI-000557,Active,Eye Masks,
HI-000558,Active,Potpourri Bag,
HI-000559,Active,Red Feather Boas Halves,
HI-000560,Active,Spray Essential Oil Rose & Jasmine,
HI-000549,Active,Spray Essential Oil Sandalwood & Patchouli,
HI-000562,Active,Black Chain,
HI-000563,Active,Coathanger covered in clingwrap Facilitator Prop,
HI-000564,Active,Golden Ceremonial Rings Individual,
HI-000565,Active,Shibari Rope,
HI-000566,Active,Cayenne Pepper,
HI-000567,Active,Ceremonial Cacao Block 400gm,
HI-000568,Active,Cinnamon,
HI-000569,Active,Foam Cup,
HI-000570,Active,Ground Ginger,
HI-000571,Active,Maple Syrup Sugar Free,
HI-000572,Active,Measuring Jugs,
